Date,Close,High,Low,Open,Volume
2022-03-07,289.0447082519531,292.70513305219606,270.8993021517842,284.014144041442,7663000
2022-03-14,311.6042175292969,313.34633423989266,289.3579483566016,289.7494295527162,9040300
2022-03-21,316.0671691894531,316.0867327954431,301.35703996674954,311.447761938726015,6387300
2022-03-28,321.831787109375,324.8364581671803,314.8143966409052,316.0671543316896,5750600
2022-04-04,326.4122314453125,329.25050751263194,317.02632993548053,322.3016041284351,4035900
2022-04-11,321.27392578125,328.213064088596,321.2054083645191,325.91307387571856,3036800
2022-04-18,314.7948303222656,334.7019482315232,314.383755674538,321.45009998969198,4658600
2022-04-25,281.8609619140625,314.980772471377996,280.8431167906329,312.5731347709790797,6120900
2022-05-02,280.6914367675781,289.21150103104804,269.03398443343474,284.277005285762,5565600
2022-05-09,275.1127014160156,279.1031172584719,265.81807784091814,277.78929544749866,4574600
2022-05-16,257.5726031383594,276.6128492682526,250.895775757126,274.289002739197,4411000
2022-05-23,276.1716003417969,276.17136718351219,253.70961319426178,259.52336718351219,5002800
2022-05-30,263.3277282714844,275.07883237953,261.1217285014627,272.97532692933817,6038600
2022-06-06,248.67994689941406,268.9128482937465,248.4446348293662,265.79731026242828,3685400
2022-06-13,246.72882080078125,252.289755368083636,241.3952159714856,243.79773016963673,5878500
2022-06-20,266.42596435546875,266.8823905746204,246.56216525227202,250.3973269278153,4825700
